Date,Concentration,Precipitation,Wind_velocity,Wind_direction,Temperature,Humidity,Month,Week,Wind_direction_cardinality,Year,Seasons
2015-12-01,24.39,7.4,0.67,4.67,22.9,78.33,12,49,N,2015,Spring
2015-12-03,26.49,9.4,1.0,10.67,22.98,86.33,12,49,N,2015,Spring
2015-12-07,21.94,10.8,0.5,10.67,21.8,87.0,12,50,N,2015,Spring
2015-12-09,22.77,5.6,1.7,24.0,23.19,81.67,12,50,NE,2015,Spring
2015-12-11,23.43,0.7,1.0,33.33,23.24,78.67,12,50,NE,2015,Spring
2015-12-15,19.22,0.0,1.7,16.67,22.7,74.67,12,51,N,2015,Spring
2015-12-17,20.52,0.0,0.67,18.5,24.87,53.5,12,51,N,2015,Spring
2015-12-21,15.8,0.0,0.33,4.5,24.09,58.5,12,52,N,2015,Summer
2016-01-05,19.46,1.2,1.37,5.5,23.67,61.5,1,1,N,2016,Summer
2016-01-07,25.93,0.0,0.33,4.5,24.81,55.0,1,1,N,2016,Summer
2016-01-13,11.02,122.4,0.33,29.5,21.71,92.0,1,2,NE,2016,Summer
2016-01-15,11.07,36.8,0.17,16.0,21.29,97.0,1,2,N,2016,Summer
2016-01-19,18.87,0.0,2.07,16.0,20.75,79.0,1,3,N,2016,Summer
2016-01-21,26.37,0.0,1.37,18.0,21.82,63.5,1,3,N,2016,Summer
2016-01-25,13.34,0.0,0.0,0.0,23.49,0.0,1,4,N,2016,Summer
2016-01-27,20.69,0.2,0.33,16.0,23.0,75.5,1,4,N,2016,Summer
2016-01-29,11.73,15.0,0.67,5.0,22.73,85.0,1,4,N,2016,Summer
2016-02-02,28.96,0.0,0.5,4.5,26.4,66.5,2,5,N,2016,Summer
2016-02-04,27.62,0.0,1.55,11.5,24.38,84.5,2,5,N,2016,Summer
2016-02-08,13.77,10.2,0.5,9.0,23.47,74.0,2,6,N,2016,Summer
2016-02-10,17.12,0.0,0.5,18.0,25.52,74.5,2,6,N,2016,Summer
2016-02-12,18.13,28.4,1.0,9.5,23.18,89.0,2,6,N,2016,Summer
2016-02-16,2.7,46.0,2.05,27.0,22.26,92.5,2,7,NE,2016,Summer
2016-02-18,14.68,5.0,1.0,31.5,23.06,75.5,2,7,NE,2016,Summer
2016-02-22,12.4,2.4,0.5,36.0,21.91,82.0,2,8,NE,2016,Summer
2016-02-24,13.48,1.5,1.55,4.5,21.58,89.5,2,8,N,2016,Summer
2016-02-26,16.67,1.7,2.05,5.0,23.32,79.0,2,8,N,2016,Summer
2016-02-29,16.67,1.7,2.05,5.0,23.32,79.0,2,9,N,2016,Summer
2016-03-01,13.45,0.38,0.18,243.54,21.01,86.51,3,9,SW,2016,Summer
2016-03-03,13.82,0.48,0.34,123.6,22.59,85.39,3,9,SE,2016,Summer
2016-03-07,13.52,0.02,0.14,129.2,25.24,76.53,3,10,SE,2016,Summer
2016-03-09,18.59,0.0,0.24,224.98,26.38,67.93,3,10,SW,2016,Summer
2016-03-11,13.35,2.41,0.97,127.02,22.98,90.2,3,10,SE,2016,Summer
2016-03-15,11.32,1.18,0.26,256.31,23.15,80.56,3,11,W,2016,Summer
2016-03-17,10.7,1.54,0.44,256.89,23.1,78.08,3,11,W,2016,Summer
2016-03-21,22.63,0.0,0.12,161.01,25.56,69.25,3,12,S,2016,Fall
2016-03-29,22.35,0.0,0.09,194.39,25.21,73.11,3,13,S,2016,Fall
2016-03-31,21.34,0.0,0.12,222.52,25.84,70.11,3,13,SW,2016,Fall
2016-04-04,5.27,0.0,0.16,193.33,26.68,64.02,4,14,S,2016,Fall
2016-04-06,2.97,0.0,0.13,136.86,24.86,64.33,4,14,SE,2016,Fall
2016-04-08,5.58,0.0,0.05,115.66,26.27,58.31,4,14,SE,2016,Fall
2016-04-12,4.68,0.0,0.19,211.09,26.74,63.77,4,15,SW,2016,Fall
2016-04-18,22.55,0.0,0.12,155.73,24.98,62.67,4,16,SE,2016,Fall
2016-04-20,25.1,0.0,0.2,152.95,24.42,64.41,4,16,SE,2016,Fall
2016-04-22,39.82,0.0,0.05,107.21,23.76,63.03,4,16,E,2016,Fall
2016-04-26,12.72,0.25,0.47,233.98,20.97,78.98,4,17,SW,2016,Fall
2016-04-28,19.85,0.0,0.07,118.26,15.87,87.46,4,17,SE,2016,Fall
2016-05-02,25.33,0.0,0.2,133.79,16.43,33.42,5,18,SE,2016,Fall
2016-05-04,33.36,0.0,0.06,77.52,21.17,56.85,5,18,E,2016,Fall
2016-05-06,35.62,0.0,0.17,108.73,21.14,63.22,5,18,E,2016,Fall
2016-05-09,10.01,0.0,0.27,163.55,22.53,68.09,5,19,S,2016,Fall
2016-05-12,25.55,0.0,0.13,169.39,20.69,86.01,5,19,S,2016,Fall
2016-05-16,15.44,3.45,0.29,170.5,20.84,86.06,5,20,S,2016,Fall
2016-05-18,24.45,0.0,0.02,82.87,19.04,86.22,5,20,E,2016,Fall
2016-05-20,15.77,0.85,0.52,269.66,22.85,75.34,5,20,W,2016,Fall
2016-05-24,14.05,0.0,0.28,227.36,16.75,68.63,5,21,SW,2016,Fall
2016-05-26,20.15,0.0,0.03,224.28,18.74,77.77,5,21,SW,2016,Fall
2016-05-30,10.92,3.0,0.07,175.54,15.78,94.08,5,22,S,2016,Fall
2016-06-01,14.65,3.4,1.0,36.0,18.95,90.0,6,22,NE,2016,Fall
2016-06-03,10.75,37.9,1.0,36.0,17.39,98.0,6,22,NE,2016,Fall
2016-06-07,10.62,16.8,1.0,34.0,15.8,96.0,6,23,NE,2016,Fall
2016-06-09,21.37,0.0,0.5,7.0,12.01,83.0,6,23,N,2016,Fall
2016-06-13,18.49,0.0,1.55,9.0,12.43,47.0,6,24,N,2016,Fall
2016-06-15,28.96,0.0,0.5,4.5,17.19,78.5,6,24,N,2016,Fall
2016-06-17,24.67,0.0,0.5,9.0,16.57,67.0,6,24,N,2016,Fall
2016-06-21,14.5,0.0,3.1,18.0,15.6,82.5,6,25,N,2016,Winter
2016-06-23,31.76,0.0,1.0,13.5,17.58,85.5,6,25,N,2016,Winter
2016-06-27,13.58,0.0,1.55,9.0,15.95,66.0,6,26,N,2016,Winter
2016-06-29,17.15,0.0,1.55,4.5,17.59,78.5,6,26,N,2016,Winter
2016-07-01,16.13,0.0,1.0,9.0,18.88,76.0,7,26,N,2016,Winter
2016-07-05,19.16,0.0,0.5,2.5,19.84,72.5,7,27,N,2016,Winter
2016-07-07,18.55,0.0,1.0,31.5,14.89,73.5,7,27,NE,2016,Winter
2016-07-11,32.05,0.0,0.5,36.0,20.23,56.0,7,28,NE,2016,Winter
2016-07-13,32.42,0.0,0.5,4.5,20.96,62.5,7,28,N,2016,Winter
2016-07-15,47.36,0.0,0.0,0.0,20.75,61.0,7,28,N,2016,Winter
2016-07-19,27.08,0.0,1.0,11.5,13.66,70.5,7,29,N,2016,Winter
2016-07-21,37.21,0.0,1.0,11.5,16.19,65.5,7,29,N,2016,Winter
2016-07-25,26.27,0.0,0.5,9.0,19.85,53.0,7,30,N,2016,Winter
2016-07-27,40.27,0.0,1.0,36.0,21.05,60.5,7,30,NE,2016,Winter
2016-07-29,38.88,0.0,1.0,16.0,18.3,63.0,7,30,N,2016,Winter
2016-08-02,34.77,0.0,0.5,7.0,19.38,62.0,8,31,N,2016,Winter
2016-08-04,31.35,0.0,1.55,4.5,19.51,66.5,8,31,N,2016,Winter
2016-08-08,48.79,0.0,0.0,0.0,21.41,69.0,8,32,N,2016,Winter
2016-08-10,24.99,0.0,2.05,16.0,15.19,77.0,8,32,N,2016,Winter
2016-08-12,31.58,0.0,3.1,16.0,14.9,69.0,8,32,N,2016,Winter
2016-08-16,25.07,5.5,2.55,27.0,17.78,85.0,8,33,NE,2016,Winter
2016-08-18,30.54,0.0,0.0,0.0,22.11,64.5,8,33,N,2016,Winter
2016-08-24,23.73,0.0,3.05,9.0,18.87,66.0,8,34,N,2016,Winter
2016-08-26,28.03,0.0,0.5,4.5,19.63,57.5,8,34,N,2016,Winter
2016-08-30,28.9,0.0,2.05,22.5,21.1,65.5,8,35,NE,2016,Winter
2016-09-01,21.66,5.4,0.5,4.5,18.36,90.5,9,35,N,2016,Winter
2016-09-05,24.34,0.0,0.5,9.0,21.73,64.0,9,36,N,2016,Winter
2016-09-09,18.82,0.4,1.0,9.5,17.59,68.5,9,36,N,2016,Winter
2016-09-13,54.77,0.0,2.05,7.0,25.28,43.0,9,37,N,2016,Winter
2016-09-15,28.39,0.0,0.5,9.0,21.05,47.5,9,37,N,2016,Winter
2016-09-19,41.04,0.0,1.55,9.0,22.59,54.0,9,38,N,2016,Winter
2016-09-21,23.01,0.0,5.65,14.0,15.72,72.0,9,38,N,2016,Spring
2016-09-23,40.7,0.0,2.05,11.5,22.24,52.0,9,38,N,2016,Spring
2016-09-27,31.87,0.0,2.05,11.5,19.55,60.0,9,39,N,2016,Spring
2016-09-29,34.37,0.0,2.05,18.0,22.7,45.0,9,39,N,2016,Spring
2016-10-03,19.17,0.0,1.55,9.0,18.47,71.0,10,40,N,2016,Spring
2016-10-05,19.02,0.0,0.5,14.0,19.81,71.0,10,40,N,2016,Spring
2016-10-07,18.07,0.0,1.0,25.0,17.68,65.0,10,40,NE,2016,Spring
2016-10-11,19.95,0.0,3.1,11.5,20.5,67.0,10,41,N,2016,Spring
2016-10-13,12.93,0.0,2.05,36.0,21.2,62.5,10,41,NE,2016,Spring
2016-10-19,30.71,0.0,1.0,7.0,27.28,59.0,10,42,N,2016,Spring
2016-10-21,19.56,28.0,2.05,18.0,22.26,84.0,10,42,N,2016,Spring
2016-10-25,15.61,33.2,1.0,11.5,20.42,91.0,10,43,N,2016,Spring
2016-10-27,14.35,11.6,2.05,29.5,19.68,94.5,10,43,NE,2016,Spring
2016-10-31,15.97,0.0,1.55,9.0,22.45,68.0,10,44,N,2016,Spring
2016-11-02,14.32,0.0,1.0,5.0,21.86,65.0,11,44,N,2016,Spring
2016-11-04,16.58,5.8,1.0,9.0,20.44,86.0,11,44,N,2016,Spring
2016-11-08,14.56,0.0,1.0,9.0,23.34,69.5,11,45,N,2016,Spring
2016-11-10,19.1,30.8,0.5,36.0,23.97,76.0,11,45,NE,2016,Spring
2016-11-18,19.22,0.0,2.05,18.0,18.94,82.0,11,46,N,2016,Spring
2016-11-21,36.44,0.0,0.5,5.0,22.84,57.0,11,47,N,2016,Spring
2016-11-23,18.54,13.2,1.0,22.5,21.66,92.5,11,47,NE,2016,Spring
2016-11-25,29.68,0.0,1.55,36.0,24.33,73.0,11,47,NE,2016,Spring
2016-11-29,17.27,0.5,0.5,4.5,22.33,84.5,11,48,N,2016,Spring
2016-12-01,20.64,0.0,5.65,11.5,21.23,71.5,12,48,N,2016,Spring
2016-12-03,11.79,0.0,0.5,5.0,21.58,78.0,12,48,N,2016,Spring
2016-12-05,5.82,0.0,0.5,32.0,22.74,85.0,12,49,NE,2016,Spring
2016-12-07,20.43,0.0,0.5,16.0,22.83,75.5,12,49,N,2016,Spring
2016-12-09,14.17,73.6,1.0,7.0,21.79,93.5,12,49,N,2016,Spring
2016-12-13,8.16,3.4,1.0,36.0,23.53,92.0,12,50,NE,2016,Spring
2016-12-15,17.19,1.3,4.1,14.0,19.65,83.0,12,50,N,2016,Spring
2016-12-17,13.1,0.0,2.05,7.0,22.48,73.5,12,50,N,2016,Spring
2016-12-21,13.79,1.2,1.0,9.0,22.64,78.5,12,51,N,2016,Summer
2016-12-23,11.42,0.0,1.0,9.5,23.27,69.0,12,51,N,2016,Summer
2017-01-12,13.4,0.6,1.0,16.0,22.23,87.0,1,2,N,2017,Summer
2017-01-14,11.15,0.0,1.0,31.5,23.39,64.0,1,2,NE,2017,Summer
2017-01-17,10.15,1.2,1.55,36.0,20.84,61.0,1,3,NE,2017,Summer
2017-01-19,9.94,23.0,0.5,2.5,20.64,96.5,1,3,N,2017,Summer
2017-01-23,9.4,0.0,0.5,9.0,21.46,88.0,1,4,N,2017,Summer
2017-01-25,13.41,0.0,1.0,9.0,22.24,93.0,1,4,N,2017,Summer
2017-01-31,10.85,0.0,1.0,11.5,21.45,73.5,1,5,N,2017,Summer
2017-02-02,10.3,22.0,2.02,139.8,20.66,87.12,2,5,SE,2017,Summer
2017-02-06,14.03,0.7,2.01,150.94,19.87,74.06,2,6,SE,2017,Summer
2017-02-08,14.03,0.7,2.01,150.94,19.87,74.06,2,6,SE,2017,Summer
2017-02-10,13.49,0.0,2.45,82.36,19.08,67.68,2,6,E,2017,Summer
2017-02-14,11.46,0.0,2.54,70.4,18.29,61.32,2,7,E,2017,Summer
2017-02-16,18.82,0.0,1.18,136.36,17.5,61.52,2,7,SE,2017,Summer
2017-02-18,17.02,4.1,1.41,192.76,16.71,76.48,2,7,S,2017,Summer
2017-02-20,22.08,0.0,2.09,94.6,15.92,60.44,2,8,E,2017,Summer
2017-02-22,3.23,0.0,2.07,67.04,15.13,58.44,2,8,NE,2017,Summer
2017-03-02,0.93,0.0,1.56,147.44,16.13,85.84,3,9,SE,2017,Summer
2017-04-10,17.42,0.0,1.38,101.52,23.8,72.8,4,15,E,2017,Fall
2017-04-12,12.69,0.0,2.82,123.48,21.5,77.96,4,15,SE,2017,Fall
2017-04-14,14.82,0.0,1.63,124.2,22.1,73.28,4,15,SE,2017,Fall
2017-04-18,18.02,2.9,2.58,119.32,19.76,72.6,4,16,SE,2017,Fall
2017-04-20,20.5,0.0,2.64,84.76,22.24,69.44,4,16,E,2017,Fall
2017-04-24,13.25,0.0,1.79,81.72,20.26,76.28,4,17,E,2017,Fall
2017-04-26,15.93,1.01,1.7,110.12,18.94,89.68,4,17,E,2017,Fall
2017-05-02,14.95,0.0,1.73,95.08,19.34,73.16,5,18,E,2017,Fall
2017-05-04,19.07,0.0,2.19,70.68,20.49,74.08,5,18,E,2017,Fall
2017-05-06,11.39,0.01,1.44,112.84,18.29,78.32,5,18,SE,2017,Fall
2017-05-08,17.88,0.0,1.06,141.2,17.72,71.68,5,19,SE,2017,Fall
2017-05-10,21.51,0.0,1.72,114.56,19.82,70.36,5,19,SE,2017,Fall
2017-05-12,19.62,0.0,1.81,82.04,19.05,73.6,5,19,E,2017,Fall
2017-05-16,25.91,0.0,1.67,124.44,19.02,71.65,5,20,SE,2017,Fall
2017-05-18,13.3,0.74,2.38,88.44,18.08,87.64,5,20,E,2017,Fall
2017-05-22,13.49,0.02,1.67,160.32,18.96,88.0,5,21,S,2017,Fall
2017-05-24,14.24,0.0,1.82,79.44,20.25,76.84,5,21,E,2017,Fall
2017-05-26,20.58,0.0,1.18,124.76,21.47,73.04,5,21,SE,2017,Fall
2017-05-30,26.93,0.0,1.32,100.4,19.33,74.52,5,22,E,2017,Fall
2017-06-01,15.74,0.01,1.82,278.72,15.87,88.12,6,22,W,2017,Fall
2017-06-03,22.25,0.0,0.88,130.2,17.05,72.28,6,22,SE,2017,Fall
2017-06-05,22.92,0.02,1.45,73.84,20.39,79.8,6,23,E,2017,Fall
2017-06-07,26.47,0.0,1.23,76.64,21.69,67.56,6,23,E,2017,Fall
2017-06-09,12.62,0.03,1.58,239.36,15.91,84.4,6,23,SW,2017,Fall
2017-06-13,12.4,0.26,1.38,95.88,16.92,86.0,6,24,E,2017,Fall
2017-06-17,19.71,0.0,1.56,124.04,17.54,64.64,6,24,SE,2017,Fall
2017-06-22,15.6,0.0,2.6,75.24,18.0,66.92,6,25,E,2017,Winter
2017-06-24,17.53,0.0,1.88,91.32,16.74,70.28,6,25,E,2017,Winter
2017-06-26,12.54,0.0,2.57,70.32,17.28,65.68,6,26,E,2017,Winter
2017-06-28,16.2,0.0,1.57,96.48,17.59,71.24,6,26,E,2017,Winter
2017-06-30,28.62,0.0,1.38,140.52,19.01,59.28,6,26,SE,2017,Winter
2017-08-03,37.3,0.0,2.18,248.28,16.04,65.48,8,31,W,2017,Winter
2017-08-05,2.54,0.0,3.2,122.88,14.75,69.96,8,31,SE,2017,Winter
2017-08-09,44.12,0.0,1.29,214.88,22.07,46.28,8,32,SW,2017,Winter
2017-08-11,20.59,0.0,2.19,101.4,20.46,49.0,8,32,E,2017,Winter
2017-08-17,35.81,0.09,1.59,109.28,15.98,90.2,8,33,E,2017,Winter
2017-08-21,4.95,0.01,4.54,122.12,13.66,80.64,8,34,SE,2017,Winter
2017-08-23,52.52,0.0,2.82,80.36,19.79,63.2,8,34,E,2017,Winter
2017-08-29,41.22,0.0,1.68,197.8,22.13,40.92,8,35,S,2017,Winter
2017-08-31,33.46,0.0,2.93,137.36,20.26,61.16,8,35,SE,2017,Winter
2017-09-02,16.07,0.0,2.53,281.56,20.46,55.52,9,35,W,2017,Winter
2017-09-04,88.47,0.0,2.31,296.48,20.46,38.56,9,36,NW,2017,Winter
2017-09-06,88.47,0.0,2.31,296.48,20.46,38.56,9,36,NW,2017,Winter
2017-09-08,50.24,0.0,1.68,288.48,23.18,33.28,9,36,W,2017,Winter
2017-09-12,40.57,0.0,2.25,309.36,23.66,39.12,9,37,NW,2017,Winter
2017-09-14,46.16,0.0,2.31,232.8,24.33,34.64,9,37,SW,2017,Winter
2017-09-16,35.13,0.0,2.27,248.96,24.25,30.88,9,37,W,2017,Winter
2017-09-18,59.16,0.0,1.56,238.6,24.26,41.44,9,38,SW,2017,Winter
2017-09-20,48.84,0.0,2.5,280.6,24.37,38.56,9,38,W,2017,Winter
2017-09-22,20.47,0.0,2.52,263.28,23.53,35.68,9,38,W,2017,Spring
2017-09-26,91.5,0.0,2.16,271.04,22.03,46.8,9,39,W,2017,Spring
2017-09-30,13.62,0.87,2.08,211.6,17.32,89.56,9,39,SW,2017,Spring
2017-10-02,11.5,0.88,1.73,225.68,17.98,82.52,10,40,SW,2017,Spring
2017-10-06,25.5,0.0,1.97,252.8,25.75,52.0,10,40,W,2017,Spring
2017-10-10,25.69,0.01,1.8,278.52,26.36,47.0,10,41,W,2017,Spring
2017-10-12,29.76,10.1,1.64,255.08,27.05,43.92,10,41,W,2017,Spring
2017-10-23,15.02,0.0,2.3,165.96,18.22,80.6,10,43,S,2017,Spring
2017-10-25,21.45,0.0,2.01,261.24,24.39,60.2,10,43,W,2017,Spring
2017-10-27,18.58,1.78,2.49,210.28,20.66,77.92,10,43,SW,2017,Spring
2017-10-31,6.0,24.0,2.23,202.48,19.51,79.32,10,44,S,2017,Spring
2017-11-04,10.12,1.47,2.97,244.56,20.9,81.32,11,44,SW,2017,Spring
2017-11-06,13.86,0.0,2.53,169.08,19.49,78.44,11,45,S,2017,Spring
2017-11-08,17.06,0.42,1.88,295.88,21.6,72.84,11,45,NW,2017,Spring
2017-11-10,12.01,1.35,2.23,269.32,22.58,76.68,11,45,W,2017,Spring
2017-11-21,11.12,1.15,2.17,201.0,21.34,87.0,11,47,S,2017,Spring
2017-11-23,18.32,0.3,1.78,218.0,21.4,72.72,11,47,SW,2017,Spring
2017-11-25,13.61,0.3,2.65,258.28,23.61,69.08,11,47,W,2017,Spring
