fecha,hora,var_crime,var_frequency,var_amount,var_district
06-06-2023,10:30,BURGLARY,1.183,5-10,5
07-06-2023,05:50,ARSON,0.298,5-10,9
08-06-2023,19:20,HOMICIDE,0.81,5-10,2
09-06-2023,14:20,INTIMIDATION,0.916,5-10,6
10-06-2023,16:40,NARCOTICS,0.293,0-5,3
11-06-2023,13:30,OTHER,0.877,5-10,1
12-06-2023,14:10,THEFT,0.448,5-10,18
13-06-2023,14:40,ASSAULT,0.762,5-10,10
14-06-2023,12:40,BURGLARY,0.764,0-5,9
15-06-2023,16:30,ARSON,0.648,0-5,11
16-06-2023,10:40,HOMICIDE,0.117,0-5,3
17-06-2023,16:00,INTIMIDATION,1.004,0-5,11
18-06-2023,12:10,NARCOTICS,0.392,5-10,10
19-06-2023,15:40,OTHER,0.232,5-10,17
20-06-2023,12:40,THEFT,0.059,5-10,2
21-06-2023,16:10,ASSAULT,0.713,5-10,10
22-06-2023,14:00,BURGLARY,0.816,5-10,2
23-06-2023,12:30,ARSON,0.03,10-15,18
24-06-2023,04:40,HOMICIDE,0.619,10-15,14
25-06-2023,11:20,INTIMIDATION,0.28,5-10,7
26-06-2023,12:30,NARCOTICS,0.778,5-10,5
27-06-2023,10:40,OTHER,0.217,0-5,17
28-06-2023,17:50,THEFT,0.832,5-10,12
29-06-2023,16:10,ASSAULT,0.47,10-15,16
30-06-2023,15:20,BURGLARY,1.125,0-5,16
01-07-2023,13:50,ARSON,0.174,5-10,9
02-07-2023,11:00,HOMICIDE,0.416,0-5,2
03-07-2023,14:00,INTIMIDATION,0.145,5-10,6
04-07-2023,13:50,NARCOTICS,1.11,5-10,16
05-07-2023,12:00,OTHER,1.054,5-10,18
06-07-2023,14:50,THEFT,0.317,5-10,5
07-07-2023,14:50,ASSAULT,0.795,5-10,7
08-07-2023,12:20,BURGLARY,0.982,5-10,13
09-07-2023,13:40,ARSON,0.671,0-5,14
10-07-2023,12:20,HOMICIDE,0.64,5-10,13
11-07-2023,14:10,INTIMIDATION,0.298,5-10,14
12-07-2023,16:40,NARCOTICS,0.121,10-15,14
13-07-2023,16:50,OTHER,1.078,5-10,18
14-07-2023,12:40,THEFT,1.081,5-10,5
15-07-2023,15:00,ASSAULT,0.763,5-10,7
16-07-2023,15:20,BURGLARY,0.413,5-10,6
17-07-2023,16:30,ARSON,0.426,5-10,15
18-07-2023,13:40,HOMICIDE,0.874,5-10,4
19-07-2023,15:40,INTIMIDATION,1.078,5-10,4
20-07-2023,15:40,NARCOTICS,1.066,5-10,4
21-07-2023,15:30,OTHER,0.938,5-10,2
22-07-2023,11:20,THEFT,0.774,5-10,13
23-07-2023,14:30,ASSAULT,0.11,5-10,18
24-07-2023,16:10,BURGLARY,0.202,10-15,8
25-07-2023,13:10,ARSON,1.079,5-10,12
26-07-2023,18:00,HOMICIDE,0.732,5-10,3
27-07-2023,13:10,INTIMIDATION,0.021,5-10,16
28-07-2023,17:40,NARCOTICS,0.131,5-10,15
29-07-2023,16:00,OTHER,0.8,5-10,7
30-07-2023,15:10,THEFT,0.016,5-10,5
31-07-2023,14:20,ASSAULT,0.201,5-10,3
01-08-2023,16:00,BURGLARY,0.663,5-10,9
02-08-2023,16:40,ARSON,0.833,5-10,8
03-08-2023,15:10,HOMICIDE,0.786,5-10,6
04-08-2023,12:30,INTIMIDATION,0.277,5-10,2
05-08-2023,10:20,NARCOTICS,0.857,5-10,1
06-08-2023,14:50,OTHER,0.292,0-5,3
07-08-2023,16:00,THEFT,0.397,5-10,14
08-08-2023,12:50,ASSAULT,0.898,5-10,8
09-08-2023,10:30,BURGLARY,0.783,0-5,10
10-08-2023,14:00,ARSON,1.021,5-10,6
11-08-2023,14:30,HOMICIDE,0.793,5-10,9
12-08-2023,14:30,INTIMIDATION,0.686,5-10,7
13-08-2023,14:20,NARCOTICS,0.121,5-10,13
14-08-2023,14:50,OTHER,0.448,0-5,9
15-08-2023,15:30,THEFT,0.326,5-10,9
16-08-2023,12:50,ASSAULT,0.3,5-10,7
17-08-2023,13:10,BURGLARY,1.168,5-10,12
18-08-2023,15:20,ARSON,0.478,5-10,1
19-08-2023,13:10,HOMICIDE,1.072,5-10,10
20-08-2023,13:00,INTIMIDATION,0.761,5-10,10
21-08-2023,13:00,NARCOTICS,0.956,5-10,6
22-08-2023,15:10,OTHER,0.608,5-10,8
23-08-2023,01:10,THEFT,0.697,5-10,14
24-08-2023,15:10,ASSAULT,0.596,5-10,3
25-08-2023,14:30,BURGLARY,0.242,5-10,1
26-08-2023,14:20,ARSON,0.87,10-15,15
27-08-2023,14:50,HOMICIDE,0.344,5-10,13
28-08-2023,11:40,INTIMIDATION,0.039,5-10,9
29-08-2023,14:10,NARCOTICS,0.778,10-15,4
30-08-2023,14:20,OTHER,0.221,0-5,15
31-08-2023,14:10,THEFT,1.129,0-5,7
01-09-2023,13:10,ASSAULT,1.145,5-10,17
02-09-2023,16:30,BURGLARY,1.099,5-10,9
03-09-2023,08:10,ARSON,0.45,5-10,16
04-09-2023,14:10,HOMICIDE,0.028,5-10,4
05-09-2023,13:40,INTIMIDATION,1.115,0-5,7
06-09-2023,14:20,NARCOTICS,0.52,5-10,5
07-09-2023,12:20,OTHER,1.16,5-10,2
08-09-2023,13:40,THEFT,1.157,5-10,7
09-09-2023,12:50,ASSAULT,1.025,5-10,14
10-09-2023,15:00,BURGLARY,0.36,5-10,2
11-09-2023,15:40,ARSON,0.468,5-10,17
12-09-2023,10:00,HOMICIDE,1.023,0-5,9
13-09-2023,15:20,INTIMIDATION,0.387,5-10,1
14-09-2023,15:00,NARCOTICS,0.212,5-10,9
15-09-2023,00:50,OTHER,0.673,5-10,18
16-09-2023,18:00,THEFT,1.124,0-5,5
17-09-2023,23:10,ASSAULT,0.838,0-5,18
18-09-2023,11:20,BURGLARY,0.688,0-5,12
19-09-2023,05:40,ARSON,0.126,0-5,7
20-09-2023,09:50,HOMICIDE,0.742,0-5,3
21-09-2023,00:20,INTIMIDATION,1.188,0-5,7
22-09-2023,13:50,NARCOTICS,0.177,0-5,9
23-09-2023,09:10,OTHER,0.627,0-5,5
24-09-2023,10:10,THEFT,1.054,5-10,12
25-09-2023,12:50,ASSAULT,0.892,0-5,12
26-09-2023,11:30,BURGLARY,0.839,0-5,9
27-09-2023,12:50,ARSON,0.846,0-5,14
28-09-2023,14:50,HOMICIDE,0.438,0-5,8
29-09-2023,12:30,INTIMIDATION,0.359,5-10,7
30-09-2023,10:20,NARCOTICS,0.973,5-10,11
01-10-2023,11:10,OTHER,0.974,5-10,3
02-10-2023,15:20,THEFT,1.042,0-5,13
03-10-2023,15:20,ASSAULT,1.097,0-5,6
04-10-2023,12:20,BURGLARY,0.618,5-10,18
05-10-2023,14:10,ARSON,0.607,5-10,4
06-10-2023,11:00,HOMICIDE,0.96,5-10,12
07-10-2023,01:20,INTIMIDATION,0.783,5-10,18
08-10-2023,09:10,NARCOTICS,0.845,0-5,2
09-10-2023,13:00,OTHER,0.957,0-5,11
10-10-2023,15:20,THEFT,1.069,0-5,2
11-10-2023,13:30,ASSAULT,0.412,5-10,7
12-10-2023,13:20,BURGLARY,0.457,0-5,12
13-10-2023,12:40,ARSON,0.122,0-5,4
14-10-2023,02:30,HOMICIDE,0.698,0-5,13
15-10-2023,15:20,INTIMIDATION,0.053,5-10,3
16-10-2023,13:30,NARCOTICS,0.564,0-5,7
17-10-2023,19:10,OTHER,0.656,5-10,3
18-10-2023,10:50,THEFT,0.351,5-10,9
19-10-2023,15:50,ASSAULT,0.713,10-15,17
20-10-2023,15:20,BURGLARY,0.046,10-15,11
21-10-2023,13:20,ARSON,0.054,5-10,16
22-10-2023,18:30,HOMICIDE,0.989,10-15,4
23-10-2023,12:20,INTIMIDATION,0.439,5-10,12
24-10-2023,16:50,NARCOTICS,0.161,5-10,2
25-10-2023,11:10,OTHER,0.631,5-10,6
26-10-2023,14:20,THEFT,0.926,5-10,18
27-10-2023,13:50,ASSAULT,0.267,0-5,14
28-10-2023,21:30,BURGLARY,0.751,5-10,8
29-10-2023,14:40,ARSON,0.112,5-10,9
30-10-2023,00:50,HOMICIDE,0.072,5-10,12
31-10-2023,10:00,INTIMIDATION,0.642,0-5,12
01-11-2023,21:40,NARCOTICS,0.653,0-5,8
02-11-2023,14:10,OTHER,0.769,25-30,8
03-11-2023,16:20,THEFT,0.874,5-10,13
04-11-2023,14:00,ASSAULT,1.171,10-15,13
05-11-2023,10:40,BURGLARY,0.624,0-5,13
06-11-2023,11:40,ARSON,0.394,5-10,4
07-11-2023,14:40,HOMICIDE,0.956,0-5,3
08-11-2023,14:10,INTIMIDATION,0.332,0-5,14
09-11-2023,02:40,NARCOTICS,0.532,0-5,13
10-11-2023,15:10,OTHER,0.103,0-5,6
11-11-2023,13:30,THEFT,0.04,0-5,10
12-11-2023,10:50,ASSAULT,1.156,5-10,3
13-11-2023,11:10,BURGLARY,1.005,0-5,14
14-11-2023,15:40,ARSON,0.838,5-10,12
15-11-2023,05:50,HOMICIDE,0.497,5-10,16
16-11-2023,12:50,INTIMIDATION,0.216,5-10,2
17-11-2023,09:30,NARCOTICS,0.196,5-10,10
18-11-2023,11:30,OTHER,0.308,5-10,16
19-11-2023,01:00,THEFT,0.664,0-5,1
20-11-2023,14:40,ASSAULT,0.86,5-10,16
21-11-2023,09:50,BURGLARY,0.796,5-10,10
22-11-2023,14:10,ARSON,0.343,5-10,17
23-11-2023,10:40,HOMICIDE,1.146,5-10,13
24-11-2023,09:40,INTIMIDATION,0.888,5-10,17
25-11-2023,10:40,NARCOTICS,0.67,0-5,15
26-11-2023,13:30,OTHER,0.738,0-5,10
27-11-2023,13:40,THEFT,0.509,0-5,4
28-11-2023,12:30,ASSAULT,0.305,0-5,4
29-11-2023,18:30,BURGLARY,0.434,0-5,1
30-11-2023,23:10,ARSON,0.912,10-15,1
01-12-2023,03:00,HOMICIDE,0.027,10-15,3
02-12-2023,10:00,INTIMIDATION,0.148,5-10,16
03-12-2023,12:50,NARCOTICS,0.065,5-10,1
04-12-2023,06:30,OTHER,0.058,0-5,8
05-12-2023,13:40,THEFT,1.028,5-10,14
06-12-2023,00:50,ASSAULT,0.847,0-5,3
07-12-2023,15:40,BURGLARY,0.574,5-10,11
08-12-2023,04:00,ARSON,0.126,5-10,5
09-12-2023,14:10,HOMICIDE,0.595,0-5,17
10-12-2023,10:00,INTIMIDATION,0.573,0-5,14
11-12-2023,00:40,NARCOTICS,0.216,0-5,4
12-12-2023,13:40,OTHER,0.526,5-10,3
13-12-2023,13:50,THEFT,0.484,10-15,13
14-12-2023,04:30,ASSAULT,0.743,5-10,6
15-12-2023,08:20,BURGLARY,0.766,10-15,14
16-12-2023,12:20,ARSON,0.064,5-10,17
17-12-2023,12:00,HOMICIDE,0.456,0-5,12
18-12-2023,22:30,INTIMIDATION,0.755,0-5,8
19-12-2023,12:30,NARCOTICS,0.609,0-5,8
20-12-2023,10:30,OTHER,1.029,5-10,18
21-12-2023,14:10,THEFT,0.794,5-10,3
22-12-2023,11:00,ASSAULT,0.204,5-10,7
23-12-2023,08:10,BURGLARY,0.094,0-5,1
24-12-2023,12:20,ARSON,0.774,5-10,1
25-12-2023,14:10,HOMICIDE,0.042,5-10,1
26-12-2023,13:30,INTIMIDATION,0.707,5-10,17
27-12-2023,13:00,NARCOTICS,1.129,5-10,7
28-12-2023,12:20,OTHER,0.695,5-10,15
29-12-2023,08:20,THEFT,0.472,0-5,18
30-12-2023,14:10,ASSAULT,0.776,5-10,4
31-12-2023,12:30,BURGLARY,0.555,0-5,16
